Day,Date Offset,Phase,Channel,Format,Pillar,Hook / Headline,Caption / Copy,Hashtags,CTA,Asset Reference
6,Sat Wk1,Ignite,TikTok,Reel (15s),Cultural / Local,"Durban founders: this one's for you.","Drone-style B-roll of Durban beachfront / CBD with hard cut to The Breed lockup.",#DurbanTikTok #KZN #SAEntrepreneurs,Follow @breedindustries,Use video script #5
7,Sun Wk1,Ignite,Instagram,Story (review highlight),Empire Stories,"Real review from Founder of I-Group.","5-star screenshot + voiceover quote.",,DM us,08-IG-Square-Testimonial.svg
8,Mon Wk2,Ignite,Paid + Organic,Ad set go-live,Promo,"Build your own package. Pay for exactly what you need.","Run as Meta carousel + TikTok in-feed. Targeting: Durban + JHB + CT, age 25-44, interests: small business / entrepreneurship / Wix / Canva / startups.",,thebreed.co.za/build-package,04-IG-Story-PackageBuilder.svg
8,Mon Wk2,Ignite,Instagram,Reel (30s),Founder Education,"Stop juggling 5 freelancers.","Founder voice + hard-cut visuals showing tabs closing one by one until only thebreed.co.za remains.",#FromIdeaToEmpire,Comment ONE for the link,Use video script #3
9,Tue Wk2,Ignite,Instagram,Live (20 min),Founder Education,"Tuesday Live: ask me anything about starting in SA.","Lance hosts. Pin the website link in the description.",,Save the date,—
10,Wed Wk2,Ignite,LinkedIn,Carousel,Founder Education,"What CIPC registration actually costs in 2026.","Plain-spoken breakdown vs DIY. Highlight Breed price bands.",#CIPC #SmallBusinessSA,DM a quote,—
11,Thu Wk2,Ignite,TikTok,Reel (45s),Empire Stories,"Logo design timelapse for MC Ways.","Speed paint from sketch to final logo with audio.",#LogoDesign #BrandingTok,Comment LOGO,Use video script #4
12,Fri Wk2,Ignite,Instagram,Carousel,Empire Stories,"What a R5,000 website actually looks like.","Walk through 5 screens of a Growth Momentum deliverable with annotations.",#WebDesignSA,Build yours,—
13,Sat Wk2,Ignite,Facebook,Event / Live,Promo,"Founder Friday — first 5 free strategy calls.","Free 30-min calls every Friday, capped at 5. Booking link in the description.",,Book your slot,—
14,Sun Wk2,Ignite,Instagram,Story poll,Cultural / Local,"What's stopping you from registering your idea this month?","Poll: time / money / tech / I have one already.",,Vote,—
15,Mon Wk3,Educate,Instagram,Reel (60s),Founder Education,"Episode 1: REGISTER.","Series intro + plain-spoken explainer of CIPC, B-BBEE, CSD.",#FromIdeaToEmpire #CIPC,Save this reel,Use video script #6
15,Mon Wk3,Educate,LinkedIn,Long-post,Founder Education,"How to register a company in South Africa without losing a weekend.","700-word breakdown ending in soft Breed CTA.",#SmallBusinessSA,DM us,—
16,Tue Wk3,Educate,TikTok,Reel (15s),Founder Education,"Three docs you'll need before CIPC.","Hard-cut listicle — ID copy / address / proposed name.",#BusinessTok,Save this,—
17,Wed Wk3,Educate,Instagram,Carousel,Founder Education,"5 mistakes new founders make at registration.","Punchy slides + closing slide pushes Breed.",#StartupSA,DM REGISTER,—
18,Thu Wk3,Educate,Facebook,Long-post,Founder Education,"What CSD registration unlocks for your business.","Educational. Mention tender access.",#SmmeSA,Tap to learn,—
19,Fri Wk3,Educate,Instagram,Story takeover,Founder Education,"All week we're answering registration questions.","Use the questions sticker, batch-record voice replies.",,Send a question,—
20,Sat Wk3,Educate,Instagram,Reel (20s),Cultural / Local,"Walking through Umhlanga thinking about your business?","Founder POV walk with overlay text 'Don't think — register.'",#KZN,Comment GO,—
21,Sun Wk3,Educate,Email,Weekly digest,Empire Stories,"This week at The Breed.","Round-up: Episode 1, new clients, Founder Friday slots remaining.",,Open the digest,—
22,Mon Wk4,Educate,Instagram,Reel (60s),Founder Education,"Episode 2: BRAND.","Plain-spoken explainer of brand vs logo + showing identity systems.",#Branding #FromIdeaToEmpire,Save,Use video script #7
22,Mon Wk4,Educate,LinkedIn,Carousel,Founder Education,"The 7 pieces of a real brand identity.","Logo / palette / typography / cards / letterhead / pitch deck / brand book.",#Branding,DM BRAND,—
23,Tue Wk4,Educate,Instagram,Reel timelapse,Empire Stories,"Building NSPIRAXION's identity in 90 seconds.","Speed cuts from research to final.",#LogoDesignTok,Quote me,—
24,Wed Wk4,Educate,TikTok,Reel (30s),Founder Education,"Why your Canva logo isn't enough.","Hook: 'I won't make you feel bad — but here's what you're missing.'",#Branding,DM us,—
25,Thu Wk4,Educate,Instagram,Carousel,Promo,"Pick your lane.","Slide-by-slide of Launch / Growth / Empire packages with R-prices.",#FromIdeaToEmpire,Build at thebreed.co.za,07-IG-Square-Pricing.svg
26,Fri Wk4,Educate,Instagram,Founder Friday,Promo,"Free strategy call slots open today.","Story posts every 2 hours until slots are gone.",,DM CALL,—
27,Sat Wk4,Educate,Facebook,Photo,Behind The Breed,"From the studio.","Casual shot + thank you to clients who came in this week.",,—,—
28,Sun Wk4,Educate,Instagram,Story poll,Founder Education,"Logo first or website first?","Poll. Then post the answer Monday.",,Vote,—
29,Mon Wk5,Educate,Instagram,Reel (60s),Founder Education,"Episode 3: PLAN.","Plain-spoken explainer of business plans + funding proposals.",#FromIdeaToEmpire #FundingSA,Save,Use video script #6
30,Tue Wk5,Educate,LinkedIn,Long-post,Founder Education,"What a funding-ready plan actually looks like.","700 words. Mention investor expectations + Breed templates.",#BusinessPlan #FundingSA,DM us,—
31,Wed Wk5,Educate,Instagram,Carousel,Founder Education,"5 numbers every founder must know.","Revenue / costs / runway / margin / growth.",#FoundersSA,Save,—
32,Thu Wk5,Educate,TikTok,Reel (45s),Founder Education,"Reading a real business plan we wrote.","Founder reads excerpts; client name redacted.",#BusinessTok,Comment PLAN,—
33,Fri Wk5,Educate,Instagram,Founder Friday,Promo,"Slot drop.","Stories + reel.",,DM CALL,—
34,Sat Wk5,Educate,Facebook,Long-post,Empire Stories,"Behind Pinetown Incorporated profile.","Process + screenshots from real deck.",,—,—
35,Sun Wk5,Educate,Email,Newsletter,Empire Stories,"Plan week recap + founder lessons.","Round-up email.",,Read,—
36,Mon Wk6,Educate,Instagram,Reel (60s),Founder Education,"Episode 4: BUILD.","Plain-spoken explainer of websites / apps / e-commerce / AI platforms.",#FromIdeaToEmpire #WebDesignSA,Save,Use video script #8
36,Mon Wk6,Educate,LinkedIn,Article,Founder Education,"What it really costs to build a custom site in SA.","Use Breed price ranges; honest breakdown.",#WebDesignSA,DM us,—
37,Tue Wk6,Educate,Instagram,Carousel,Empire Stories,"Engage Africa IO walkthrough.","6 dashboard screenshots + outcome stat.",#AISouthAfrica,View portfolio,—
38,Wed Wk6,Educate,TikTok,Reel (15s),Founder Education,"Wix vs custom: the honest answer.","Founder direct-to-camera.",#WebDesignSA,DM SITE,—
39,Thu Wk6,Educate,Instagram,Reel timelapse,Empire Stories,"Shipping a 5-page site in one day.","Hyperlapse + soundtrack.",#WebDesignSA,Build yours,—
40,Fri Wk6,Educate,Instagram,Founder Friday,Promo,"Last call this week.","Stories.",,DM CALL,—
41,Sat Wk6,Educate,Facebook,Photo,Behind The Breed,"Designer's desk on a Saturday.","Authentic moment.",,—,—
42,Sun Wk6,Educate,Email,Newsletter,Promo,"Pick your lane.","Push the three packages with link to Build-Your-Package.",,Build your package,—
43,Mon Wk7,Convert,Instagram,Reel (30s),Promo,"Founder Friday is back this week with 5 spots.","Pinned reel for the week.",#FoundersSA,DM CALL,—
44,Tue Wk7,Convert,LinkedIn,Carousel,Empire Stories,"4 brands we shipped in 6 weeks.","Single carousel: I-Group / MC Ways / NSPIRAXION / Lance.",#PortfolioSA,View work,—
45,Wed Wk7,Convert,Instagram,Reel (15s),Promo,"Stop pricing yourself by hour. Pay for the result.","Founder direct-to-camera.",#FromIdeaToEmpire,Build a package,—
46,Thu Wk7,Convert,TikTok,Reel (45s),Empire Stories,"Client reaction: opening their new logo.","Real reaction — face on screen.",#BrandingTok,Comment EMPIRE,—
47,Fri Wk7,Convert,Instagram,Founder Friday,Promo,"5 free calls today.","Stories.",,DM CALL,—
48,Sat Wk7,Convert,Facebook,Album,Behind The Breed,"This week we shipped...","6 work-in-progress photos.",,—,—
49,Sun Wk7,Convert,Email,Newsletter,Promo,"Three reasons to lock in your package this month.","Urgency without being cringe.",,Reply YES,—
50,Mon Wk8,Convert,Instagram,Reel (15s),Promo,"Reminder: pricing is on the website.","Founder voice.",,Visit pricing,07-IG-Square-Pricing.svg
51,Tue Wk8,Convert,LinkedIn,Long-post,Founder Education,"Why we built a Package Builder instead of a contact form.","Founder POV.",#FromIdeaToEmpire,Try it,—
52,Wed Wk8,Convert,Instagram,Carousel,Promo,"Inside Empire Ascend (R18,500).","6 slides showing what's in the top tier — premium logo, full identity, e-commerce portal, media kit, 3 months social management.",#FromIdeaToEmpire,DM EMPIRE,—
53,Thu Wk8,Convert,TikTok,Reel (60s),Empire Stories,"30-day rebuild for MLK Apparel.","Before / mid / after stitched together.",#EcommerceSA,Comment SITE,—
54,Fri Wk8,Convert,Instagram,Founder Friday,Promo,"Slot drop.",,,,DM CALL,—
55,Sat Wk8,Convert,Facebook,Photo,Cultural / Local,"Saturday walk through Florida Road thinking about you.","Founder Lance to camera.",#DurbanBusiness,—,—
56,Sun Wk8,Convert,Email,Newsletter,Empire Stories,"This month at The Breed.","Recap.",,Read,—
57,Mon Wk9,Convert,Instagram,Reel (30s),Promo,"Last 7 days of this round of Founder Friday.","Voiceover.",,DM CALL,—
58,Tue Wk9,Convert,LinkedIn,Long-post,Empire Stories,"Lessons from shipping 12 brands in 90 days.","Reflective. Soft funder pitch at the end.",#SAEntrepreneurs,DM us,—
59,Wed Wk9,Convert,TikTok,Reel (15s),Founder Education,"Three reasons your CIPC application gets rejected.","Listicle.",#CIPC,DM us,—
60,Thu Wk9,Convert,Instagram,Carousel,Founder Education,"Funding-ready document checklist.","Save-worthy slides.",#FundingSA,Save,—
61,Fri Wk9,Convert,Instagram,Founder Friday,Promo,"Final 5 of this round.",,,,DM CALL,—
62,Sat Wk9,Convert,Facebook,Album,Behind The Breed,"Studio Saturday.","BTS.",,—,—
63,Sun Wk9,Convert,Email,Newsletter,Promo,"Last call to lock in pricing this round.","Soft urgency.",,Reply,—
64,Mon Wk10,Convert,Instagram,Reel (60s),Empire Stories,"Empire reel — montage of every client we shipped.","60-second showreel.",#FromIdeaToEmpire,DM EMPIRE,Use video script #8
65,Tue Wk10,Convert,LinkedIn,Article (1000 words),Empire Stories,"How a Durban agency became a one-stop empire builder.","Long-form authority piece.",#EntrepreneurshipSA,Read,—
66,Wed Wk10,Convert,TikTok,Reel (30s),Behind The Breed,"Day in the life of an agency in Durban.","First-person vlog.",#DurbanTikTok,Follow,—
67,Thu Wk10,Convert,Instagram,Carousel,Promo,"Pick your lane (last call).","Same as Day 25 with urgency layer.",#FromIdeaToEmpire,DM EMPIRE,07-IG-Square-Pricing.svg
68,Fri Wk10,Convert,Instagram,Founder Friday,Promo,"Slot drop.","Stories.",,DM CALL,—
69,Sat Wk10,Convert,Facebook,Photo,Cultural / Local,"Reading the budget speech so you don't have to.","Quick founder reaction post.",#SmallBusinessSA,—,—
70,Sun Wk10,Convert,Email,Newsletter,Empire Stories,"90-day milestone.","Show numbers shipped.",,Read,—
71,Mon Wk11,Amplify,Instagram,Reel (30s),Promo,"Open enrolment for next quarter.","Soft sales push.",#FromIdeaToEmpire,DM EMPIRE,—
72,Tue Wk11,Amplify,LinkedIn,Long-post,Empire Stories,"What we learned shipping 12 brands in 90 days.","Lessons listicle.",#SAEntrepreneurs,Comment to chat,—
73,Wed Wk11,Amplify,TikTok,Reel (45s),Founder Education,"5 things every founder regrets not doing earlier.","Founder direct-to-camera.",#BusinessTok,Save,—
74,Thu Wk11,Amplify,Instagram,Carousel,Promo,"Year-2 roadmap of The Breed.","Tease upcoming services.",#FromIdeaToEmpire,DM EMPIRE,—
75,Fri Wk11,Amplify,Instagram,Founder Friday,Promo,"This round closes next week.",,,,DM CALL,—
76,Sat Wk11,Amplify,Facebook,Album,Behind The Breed,"Field-trip Saturday.","Visiting client locations.",,—,—
77,Sun Wk11,Amplify,Email,Newsletter,Promo,"Reserve your Q3 slot now.","Soft pre-sell.",,Reply,—
78,Mon Wk12,Amplify,Instagram,Reel (60s),Empire Stories,"Highlights of the launch quarter.","Showreel #2.",#FromIdeaToEmpire,DM EMPIRE,—
79,Tue Wk12,Amplify,LinkedIn,Carousel,Empire Stories,"By the numbers — Q-launch.","Metrics: 12 brands, 5 sites, R Xm pipeline (fill in real numbers).",#SAEntrepreneurs,Connect,—
80,Wed Wk12,Amplify,TikTok,Reel (15s),Cultural / Local,"Durban startup scene is cooking.","Quick energy reel.",#DurbanTikTok,Follow,—
81,Thu Wk12,Amplify,Instagram,Reel (30s),Promo,"Now booking Q3 packages.","Direct CTA.",#FromIdeaToEmpire,DM Q3,—
82,Fri Wk12,Amplify,Instagram,Founder Friday,Promo,"Final slots of the round.",,,,DM CALL,—
83,Sat Wk12,Amplify,Facebook,Photo,Behind The Breed,"Team thank-you Saturday.",,,—,—
84,Sun Wk12,Amplify,Email,Newsletter,Promo,"What's coming in Q3.",,,Read,—
85,Mon Wk13,Amplify,Instagram,Carousel,Founder Education,"Glossary every SA founder should bookmark.","Save-worthy reference post.",#SmallBusinessSA,Save,—
86,Tue Wk13,Amplify,LinkedIn,Long-post,Empire Stories,"Open call for partnerships.","Pitch to ESD/SD programs and accelerators.",#PartnershipsSA,DM partnerships,—
87,Wed Wk13,Amplify,TikTok,Reel (30s),Cultural / Local,"South African founders are unstoppable.","Cinematic montage.",#SAEntrepreneurs,Follow,—
88,Thu Wk13,Amplify,Instagram,Reel (60s),Empire Stories,"Year ahead trailer.","Cinematic teaser.",#FromIdeaToEmpire,DM EMPIRE,—
89,Fri Wk13,Amplify,Instagram,Founder Friday,Promo,"Final round closes today.",,,,DM CALL,—
90,Sat Wk13,Amplify,All channels,Capstone post,Promo,"From Idea to Empire — and only just getting started.","Single coordinated post across IG / FB / LinkedIn / TikTok closing the launch quarter.",#FromIdeaToEmpire,Visit thebreed.co.za,01-IG-Square-FromIdeaToEmpire.svg
